"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","group"
"30",0.5,"IPW",0.0036949631486476,0.05157483151536,0.00265996324583777,0.0735298338289157,0.0764005480249121,"positive"
"31",0.25,"IPW",0.00225753868765958,0.0430131893944164,0.00185013446187993,0.0664154764688459,0.064448861590642,"positive"
"32",0,"IPW",-0.00426304438163749,0.0409632001570847,0.00167798376710938,0.0635891233012277,0.0614458163386347,"positive"
"33",-0.25,"IPW",-0.000961965883606261,0.0410364269034854,0.0016839883330051,0.0619979799568193,0.0622135939382709,"positive"
"34",-0.5,"IPW",0.000102811439037414,0.042223803516542,0.00178284958340354,0.0648916397146659,0.063952593131121,"positive"
"35",-0.75,"IPW",-0.00326358087647642,0.0471350743207217,0.00222171523121996,0.0703194302036179,0.0704555102719991,"positive"
"36",-1,"IPW",-0.00210995719377578,0.0533149876966636,0.00284248791309539,0.0776723671547836,0.0796544020803414,"positive"
"37",1,"MLE",0.0017860839330114,0.047894759573775,0.00229390799462971,0.0715925215402465,0.0748368061117305,"negative"
"38",0.75,"MLE",0.0014398482377589,0.0458572948301061,0.00210289148913527,0.0666807964586604,0.0659750953687198,"negative"
"39",0.5,"MLE",-0.000264384210913618,0.043548419660492,0.00189646485492633,0.0632166305213318,0.0628797993965262,"negative"
"40",0.25,"MLE",-0.000481319184878682,0.0432732300323443,0.00187257243743219,0.0615834803820119,0.0637020056177381,"negative"
"41",0,"MLE",0.00419517280730925,0.0411281746678457,0.00169152675150882,0.0633647273428886,0.0614497130652051,"negative"
"42",-0.25,"MLE",-0.00248734989419384,0.0428620572870834,0.00183715595488122,0.0660812654161475,0.0644243668398832,"negative"
"43",-0.5,"MLE",-0.00364922342510748,0.051186584990157,0.00262006648295457,0.072710413337652,0.0754743153216667,"negative"
"44",-0.75,"MLE",-0.00636349931097546,0.0539313813591727,0.00290859389530852,0.0819524859436933,0.0815776631833665,"negative"
"45",-1,"MLE",-0.0045189459020169,0.062172824233256,0.00386546007313935,0.0911359790916052,0.0931674336287683,"negative"
