"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","ratio","RMSE_scale"
"31",0.5,"IPW",0.00310129285634355,0.0401331360807536,0.00161066861167629,0.0597863964228656,0.0602704364591163,"1:2",0.00103623311781223
"32",0,"IPW",0.00228695203288597,0.0401971175524735,0.00161580825952738,0.0549025552156561,0.0575931646497001,"1:2",0.00103788511230848
"33",-0.5,"IPW",-0.00239480669699977,0.0428647647725362,0.00183738805900486,0.0599410991432094,0.0600379061784389,"1:2",0.00110676346735421
"34",-1,"IPW",-0.00929266300689264,0.0519943114329899,0.00270340842139075,0.0742674996664587,0.0744872920210696,"1:2",0.00134248734851661
"35",-1.5,"IPW",-0.00713345134303649,0.0670887160355201,0.00450089581929465,0.0956772362756459,0.0993230716846691,"1:2",0.00173222319949339
"36",-2,"IPW",-0.0101964043689999,0.0829445626850179,0.00687980047900887,0.122077156440294,0.12791062608961,"1:2",0.00214161939958354
"37",2,"MLE",0.0110207035156403,0.092095075008644,0.00848150284084777,0.128338191504099,0.131227914234191,"1:4",0.00260484208209984
"38",1.5,"MLE",0.00565763066529868,0.0638260869494802,0.00407376937528261,0.100606651362189,0.0992806188724907,"1:4",0.00180527435594319
"39",1,"MLE",0.00831148179288742,0.055404946396145,0.0030697080851597,0.0829413105884301,0.0837024288038472,"1:4",0.00156708853231965
"40",0.5,"MLE",0.00437472974788727,0.0488241856059335,0.00238380110008265,0.0744775223156163,0.0768970599673713,"1:4",0.00138095650911465
"41",0,"MLE",-0.00512279699553245,0.0516093820657623,0.00266352831720983,0.0713631787860327,0.0729545420538611,"1:4",0.00145973376126192
"42",-0.5,"MLE",-0.00121647184975021,0.0502443641464273,0.00252449612847879,0.072720647239802,0.0714324007080935,"1:4",0.0014211252241738
"43",-1,"MLE",-0.00628786027404145,0.0586867100010464,0.00344412993074692,0.0831093947346061,0.0846370198132172,"1:4",0.00165991082429073
"44",-1.5,"MLE",-0.00749994567375794,0.0591492048545886,0.00349862843493009,0.10024230543081,0.0955894606591501,"1:4",0.00167299215417887
"45",-2,"MLE",-0.0117201266003975,0.0814874505551754,0.00664020459798215,0.125444601482235,0.124297324121463,"1:4",0.00230481315476672
"46",2,"IPW",0.0183752044736134,0.107930253512524,0.0116489396232778,0.149901959815801,0.157544122928246,"1:4",0.00305272856615557
"47",1.5,"IPW",0.00847532403219658,0.0753334516758838,0.00567512894140272,0.113188205236602,0.115992427881274,"1:4",0.00213075178120826
"48",1,"IPW",0.0107934254965808,0.060184039829838,0.00362211865023953,0.0884265879986674,0.0906689594872587,"1:4",0.00170226170731519
"49",0.5,"IPW",0.00460535119088925,0.0500884311022013,0.00250885093027996,0.0753074223184025,0.0785089418154491,"1:4",0.00141671477165447
"50",0,"IPW",-0.00504212849412563,0.0518846816971879,0.00269202019481851,0.0713875793906285,0.0728694634896729,"1:4",0.00146752041071148
"51",-0.5,"IPW",-0.000556350911867141,0.0514091913788701,0.00264290495822929,0.0732648776725453,0.0721184108093722,"1:4",0.00145407151357264
"52",-1,"IPW",-0.00767350552063979,0.0661070628450105,0.00437014375799417,0.0887164937728661,0.0929107341493424,"1:4",0.00186979009688129
