"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","ratio","RMSE_scale"
"31",0.5,"IPW",-0.00112400597537947,0.0275407381326821,0.00075849225689297,0.0410886852684894,0.0398949254637819,"1:2",0.00050282278418709
"32",0,"IPW",0.000682073237686495,0.0248582872745723,0.000617934446225162,0.0385087553162082,0.0375168306034893,"1:2",0.000453848156040895
"33",-0.5,"IPW",-0.0014541334233883,0.0283002223612157,0.000800902585694253,0.0418463932718145,0.0435276590711541,"1:2",0.000516689005654998
"34",-1,"IPW",-0.00175493947853131,0.0344702357921437,0.00118819715556598,0.0507616781329019,0.0509805267069649,"1:2",0.000629337523529302
"35",-1.5,"IPW",-0.00152682179148841,0.0442392702544582,0.00195711303264699,0.0630161813831856,0.0653595860938016,"1:2",0.000807694874864469
"36",-2,"IPW",-0.00234349065735333,0.0589062452420643,0.00346994572851822,0.0805770215218634,0.0839190650082123,"1:2",0.001075475976567
"37",2,"MLE",0.00667830590535643,0.0512605080588259,0.00262763968644896,0.0693894723436354,0.0753869717868627,"1:3",0.000810499797416532
"38",1.5,"MLE",0.00494815448557378,0.0401875781056837,0.00161504143400043,0.0562457506060202,0.0580728174631417,"1:3",0.000635421402299378
"39",1,"MLE",0.000109234097830025,0.0305369815577983,0.000932507242661311,0.0450340147410904,0.0452188157331411,"1:3",0.000482832072945996
"40",0.5,"MLE",-3.78998179747748e-05,0.0252533925608226,0.00063773383583101,0.0378961526441743,0.0365256350549933,"1:3",0.000399291195692758
"41",0,"MLE",-0.000513581957076539,0.0267190713314325,0.000713908772814176,0.036193455753424,0.0375673433885654,"1:3",0.000422465611859171
"42",-0.5,"MLE",-0.00202507451876717,0.0259128686704337,0.000671476762731142,0.0386077578290287,0.0379756920180639,"1:3",0.000409718428536947
"43",-1,"MLE",-0.00120396519484632,0.0296460756617652,0.000878889802143108,0.044919736522606,0.0435265403557139,"1:3",0.000468745613884308
"44",-1.5,"MLE",-0.0031578672710152,0.0332192561969549,0.00110351898227893,0.0545443487004189,0.0536388389581373,"1:3",0.000525242558795203
"45",-2,"MLE",-0.0060198486299102,0.0498213777511319,0.00248216968102098,0.0687600568913792,0.0703811880399759,"1:3",0.000787745149306072
"46",2,"IPW",0.0054830617314978,0.0549560810983866,0.00302017084969244,0.0726517211878017,0.077829610910332,"1:3",0.000868931937739148
"47",1.5,"IPW",0.00457243767640466,0.0414770686989945,0.00172034722786111,0.058477044447844,0.0601006509371117,"1:3",0.000655810038780497
"48",1,"IPW",0.000137485095006181,0.0305099862958652,0.000930859263773884,0.0460433179802395,0.0460727155265617,"1:3",0.00048240524037729
"49",0.5,"IPW",0.000240605582996246,0.0257608619216352,0.000663622006945553,0.0382631268724441,0.0368040868955547,"1:3",0.000407314990807346
"50",0,"IPW",-0.000532124707912838,0.0267916157135985,0.000717790672545139,0.036221540866179,0.0375695201370608,"1:3",0.000423612639254644
"51",-0.5,"IPW",-0.00177623919026163,0.0257275258498674,0.000661905586355594,0.038835031761796,0.0383470941066316,"1:3",0.0004067879012322
"52",-1,"IPW",-0.00137409642465244,0.0301480362415064,0.000908904089219181,0.0459544577666392,0.0442895670123445,"1:3",0.000476682307522311
"53",-1.5,"IPW",-0.00272896634050942,0.0362851345563787,0.00131661098977451,0.056219100869539,0.0560910712142471,"1:3",0.0005737183520192
"54",-2,"IPW",-0.00544162442505893,0.049920727353879,0.00249207901954032,0.0717944486202839,0.0729345124821905,"1:3",0.000789316004452641
"55",2,"MLE",0.000517869601111876,0.04860073370778,0.00236203131693454,0.0656599159496641,0.0672936607459924,"1:4",0.000687318167508257
"56",1.5,"MLE",0.0066854525829289,0.0382836613639169,0.00146563872742706,0.0534972111043921,0.0546899076205933,"1:4",0.000541412731181501
"57",1,"MLE",0.000712097149101372,0.0273205002078306,0.00074640973160607,0.0429405356553403,0.0422004575292776,"1:4",0.000386370219247309
"58",0.5,"MLE",0.000771491263111374,0.0253343184095993,0.000641827689278963,0.0364861669351076,0.0368385531086506,"1:4",0.000358281366883337
"59",0,"MLE",0.00201168384390186,0.0243173792289612,0.000591334932565114,0.0350624578070395,0.0352795429628409,"1:4",0.000343899675069667
"60",-0.5,"MLE",-0.00211863902760432,0.0247226552324691,0.000611209681743534,0.037172274882955,0.0382383153131682,"1:4",0.00034963114327632
"61",-1,"MLE",7.00534939413836e-07,0.0285802097816948,0.000816828391165682,0.0428596580607277,0.0425885752523524,"1:4",0.000404185202887409
"62",-1.5,"MLE",-0.00122640694296674,0.0314623883456084,0.000989881880409877,0.0516333477025589,0.0497142360352041,"1:4",0.000444945363030086
"63",-2,"MLE",-0.00540270422342296,0.0478056986853595,0.00228538482679539,0.0650645220996738,0.0661962806135874,"1:4",0.000676074674395571
"64",2,"IPW",0.000876138463691003,0.0501303707342413,0.00251305406995248,0.067202377157577,0.0694009083883333,"1:4",0.000708950501791554
"65",1.5,"IPW",0.00690916156983331,0.0383667171752568,0.00147200498680615,0.0545875410349175,0.0556288754658704,"1:4",0.000542587317729809
"66",1,"IPW",0.000615505463619585,0.028188035730895,0.000794565358366214,0.0434952363645772,0.04247582681032,"1:4",0.000398639024272891
"67",0.5,"IPW",0.000637528667591396,0.024766786805779,0.000613393728682908,0.0365806000550257,0.0369009046561622,"1:4",0.000350255257971357
"68",0,"IPW",0.00201362289437916,0.0243562139809608,0.000593225159486349,0.0350644244896333,0.0352758582234945,"1:4",0.000344448881399359
"69",-0.5,"IPW",-0.00208685005222642,0.0251491682076826,0.000632480661538315,0.0373148113617925,0.0382132393765567,"1:4",0.000355662947617071
"70",-1,"IPW",3.19932690005333e-07,0.0285951991824617,0.000817685416284657,0.0432667689297997,0.0430518683228823,"1:4",0.000404397185025973
"71",-1.5,"IPW",-0.00147742986243506,0.0332018922536624,0.0011023656492238,0.0525103432390638,0.0512508923904485,"1:4",0.000469545663215795
"72",-2,"IPW",-0.0062211282372793,0.0483629224621958,0.00233897226908436,0.0666852407479949,0.0679634190541391,"1:4",0.000683955008620356
"73",2,"MLE",0.00514922892582666,0.0374368029153333,0.00140151421252151,0.0632260884902441,0.061715482622015,"1:5",0.000483307047421117
"74",1.5,"MLE",0.0037632607108744,0.0359130260964383,0.00128974544340346,0.0514981072944641,0.0519635615500536,"1:5",0.00046363517327806
"75",1,"MLE",0.00348837281929041,0.0282380296772771,0.000797386320054784,0.0416497129709383,0.0427010951029446,"1:5",0.000364551395566017
"76",0.5,"MLE",0.00053254750705159,0.0235886415403014,0.000556424009716832,0.0355646850606377,0.0346616846472013,"1:5",0.000304528052817479
"77",0,"MLE",-0.00149906129570472,0.0230116507089139,0.00052953606834906,0.034289301512688,0.0338457193061471,"1:5",0.000297079133214553
"78",-0.5,"MLE",0.00191489396069427,0.0256045127446598,0.000655591072891445,0.0361973733807727,0.0360235631197912,"1:5",0.00033055283815941
"79",-1,"MLE",-0.00210780247580463,0.0286577066849704,0.000821264152441797,0.0415090922467298,0.0404582730877305,"1:5",0.000369969402437958
"80",-1.5,"MLE",-0.00534663951167484,0.0365333489436407,0.00133468558503781,0.0499246867889102,0.0507046412782948,"1:5",0.000471643506799682
"81",-2,"MLE",-0.00319335138035788,0.0398278972113485,0.00158626139627774,0.0626745971091304,0.0626990988376667,"1:5",0.000514175942046712
"82",2,"IPW",0.00536077272553688,0.0374740839185446,0.00140430696553412,0.0639289052185555,0.0630139273838588,"1:5",0.000483788343103008
"83",1.5,"IPW",0.00345253294892102,0.0369723737935953,0.00136695642393333,0.0520335144805573,0.0527380668243959,"1:5",0.000477311293241167
"84",1,"IPW",0.00383567487109247,0.0284115103780863,0.000807213921964103,0.0418455251489765,0.0431133990109071,"1:5",0.000366791021783091
"85",0.5,"IPW",0.000397864723945588,0.0236283625441184,0.000558299516516298,0.035522442310681,0.0346948463051498,"1:5",0.000305040848771739
"86",0,"IPW",-0.00150592961227079,0.023092193577917,0.000533249404239989,0.0342814168314582,0.0338395622779392,"1:5",0.000298118937182234
"87",-0.5,"IPW",0.00192222591694742,0.0261599959368745,0.000684345387417289,0.0362016641589126,0.0361009132519847,"1:5",0.000337724095334562
"88",-1,"IPW",-0.0019134656344874,0.0288480393780416,0.000832209375957041,0.0416299842117415,0.0407315820223316,"1:5",0.000372426586939637
"89",-1.5,"IPW",-0.00571683554246601,0.0364460419569826,0.00132831397433014,0.0501710556193617,0.0511436039957441,"1:5",0.000470516378448568
"90",-2,"IPW",-0.00300657530936375,0.0428552831801583,0.00183657529645155,0.0631041754682212,0.0641332191140085,"1:5",0.000553259326845853
