"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"51",-0.5,"IPW",-0.0171847084983227,0.0926653665391226,0.00858687015582994,0.133365170230447,0.13929184072096,150,0.00535003743159178
"52",-1,"IPW",-0.0441021765534882,0.126796158054603,0.016077265697408,0.170398543133721,0.194699720074371,150,0.00732057959850356
"53",-1.5,"IPW",-0.0797265945250295,0.192709037607347,0.0371367731755498,0.225827497425619,0.278447927906196,150,0.0111260614737875
"54",-2,"IPW",-0.125890900374276,0.263953281525975,0.0696713348283305,0.282615361857034,0.392373732854712,150,0.0152393498142507
"55",2,"MLE",0.0198228026640855,0.131497202297244,0.0172915142120024,0.192084636415267,0.192009398182586,200,0.00657486011486222
"56",1.5,"MLE",0.0066892409563558,0.0978920705313746,0.00958285747291962,0.147222906953271,0.146296529388158,200,0.00489460352656873
"57",1,"MLE",0.0082991384425872,0.081546340883283,0.00664980571145259,0.123089347726316,0.125649197230798,200,0.00407731704416415
"58",0.5,"MLE",0.00982425364211542,0.0728166744440235,0.00530226807708691,0.109397564755095,0.109110553154785,200,0.00364083372220118
"59",0,"MLE",-0.00438883881233194,0.0615786868875488,0.00379193467879478,0.102416615643305,0.0954434786380587,200,0.00307893434437744
"60",-0.5,"MLE",0.00247974216186264,0.0715419874072652,0.00511825596218129,0.105609383666414,0.102122214054832,200,0.00357709937036326
"61",-1,"MLE",-0.014229032767956,0.0883828720889368,0.00781153207868937,0.122885260604122,0.12939160754714,200,0.00441914360444684
"62",-1.5,"MLE",-0.0120381853634834,0.113534185223901,0.0128900112144551,0.151141641707342,0.15694061009964,200,0.00567670926119505
"63",-2,"MLE",-0.0201258958528477,0.11976386247552,0.0143433827550553,0.188838101381507,0.183833415386492,200,0.00598819312377601
"64",2,"IPW",0.0784921534147552,0.220075869591647,0.0484333883765197,0.262219156799347,0.338598410551558,200,0.0110037934795824
"65",1.5,"IPW",0.0451381633589605,0.151046959147351,0.0228151838676616,0.193055134258197,0.235562260752447,200,0.00755234795736756
"66",1,"IPW",0.0245069262779384,0.111114440241766,0.012346418830241,0.150541871264418,0.166874398337771,200,0.00555572201208829
"67",0.5,"IPW",0.0189689950702124,0.0781859989445366,0.00611305043095508,0.117131150681644,0.120525021189573,200,0.00390929994722683
"68",0,"IPW",-0.00438618498816476,0.0621306284279921,0.00386021498885723,0.103034164400824,0.0967914912060026,200,0.00310653142139961
"69",-0.5,"IPW",-0.0034839762801971,0.0737442035381617,0.00543820755547783,0.112493069466697,0.111136062301041,200,0.00368721017690809
"70",-1,"IPW",-0.042947559592254,0.11500134559316,0.0132253094882375,0.14888138681086,0.174388635701596,200,0.00575006727965802
"71",-1.5,"IPW",-0.0598481995546711,0.156899524609231,0.0246174608226026,0.197247043537557,0.244392349527201,200,0.00784497623046154
"72",-2,"IPW",-0.0998324021115657,0.228047428839343,0.052005629800235,0.250826559747779,0.334346485367268,200,0.0114023714419671
"73",2,"MLE",0.0384047304325496,0.121447146469139,0.0147494093854964,0.17590740262957,0.186969364914281,250,0.00543128150356735
"74",1.5,"MLE",0.013621287100948,0.0927914345526269,0.00861025032633444,0.133583648542245,0.138626671100635,250,0.00414975910778793
"75",1,"MLE",0.0155662242212242,0.0723711066698828,0.00523757708062356,0.109407608351726,0.105863080885624,250,0.00323653428241493
"76",0.5,"MLE",-0.00070356577734539,0.0701569787979845,0.00492200167406084,0.096554117376908,0.0991852374860585,250,0.00313751547376609
"77",0,"MLE",-0.00630403559778837,0.0573295049758687,0.00328667214077815,0.0905010599908749,0.0850188803164123,250,0.00256385340484909
"78",-0.5,"MLE",-0.00588838576127117,0.0670884041982648,0.00450085397786975,0.0931972171726077,0.0964072196522027,250,0.00300028464578605
"79",-1,"MLE",-0.00623868926560346,0.0685855799938907,0.00470398178309838,0.108875520043593,0.108475542701085,250,0.00306724038285178
"80",-1.5,"MLE",-0.0180935759551888,0.0837800572016696,0.00701909798471503,0.133453822516999,0.131456657110497,250,0.00374675806123508
"81",-2,"MLE",-0.0194392380752956,0.114628699726954,0.0131397388010921,0.168219197207369,0.166336521815988,250,0.0051263512952376
"82",2,"IPW",0.0895462466838974,0.196892452971986,0.0387666380373257,0.234273711814923,0.3048323615117,250,0.00880529818204082
"83",1.5,"IPW",0.0366010401150707,0.140260851980756,0.0196731065983675,0.175564980367195,0.200605262319022,250,0.00627265599222012
"84",1,"IPW",0.0293712423854108,0.088987902807333,0.00791884684604734,0.133036887606433,0.137483465807554,250,0.00397965999704682
"85",0.5,"IPW",0.00077384273021522,0.0707394465879289,0.00500406930356645,0.102856473011792,0.105196679980025,250,0.00316356422522649
"86",0,"IPW",-0.00613797005041532,0.0561994692940952,0.00315838034893795,0.090903226328157,0.0851562324410584,250,0.00251331667282018
"87",-0.5,"IPW",-0.0091475187182323,0.0696018781612113,0.0048444214435681,0.0997767661576586,0.101206003295612,250,0.00311269061860253
"88",-1,"IPW",-0.0132672675828484,0.086016605252539,0.00739885637917112,0.130571909807992,0.14234172671375,250,0.00384677953076885
"89",-1.5,"IPW",-0.0441939205272993,0.139509352249921,0.0194628593651926,0.172622411383443,0.20689747287808,250,0.00623904790255575
"90",-2,"IPW",-0.060970780262758,0.187981391262356,0.035337003460931,0.227010688617237,0.268777275660923,250,0.00840678338735227
"91",2,"MLE",0.0179694686632919,0.104265357444185,0.0108712647629637,0.159375238655083,0.165031601880829,300,0.00425661539311921
"92",1.5,"MLE",0.018763961406314,0.0832808298364435,0.00693569661824667,0.125942196052795,0.126296559072675,300,0.003399925640914
"93",1,"MLE",0.0148828820398445,0.0664398465688657,0.00441425321209441,0.101535718556248,0.102934171171776,300,0.00271239537804208
"94",0.5,"MLE",0.000312826703145737,0.0545725519752864,0.00297816342909534,0.087711380460042,0.0837639920965176,300,0.0022279151050161
"95",0,"MLE",0.0014564427418077,0.0558332412731767,0.00311735083106876,0.0819735847013067,0.08431008339272,300,0.00227938253008308
"96",-0.5,"MLE",-0.00862264769505508,0.0608279987122131,0.00370004542733299,0.0868108574940211,0.0919140849717621,300,0.0024832926486599
"97",-1,"MLE",-0.0112604130634794,0.0733679654575073,0.00538285835537398,0.0997351576736668,0.101378669128376,300,0.00299523464728391
"98",-1.5,"MLE",-0.0133537563634982,0.0881264479314527,0.00776627082501504,0.122166565434948,0.127844626855979,300,0.00359774717126682
"99",-2,"MLE",-0.0168413390095305,0.104329693947486,0.0108846850391762,0.154792295903576,0.164669316993906,300,0.00425924191986794
"100",2,"IPW",0.0682803612515502,0.172736323927127,0.0298378376038575,0.215253707780212,0.248398321674876,300,0.00705193089442618
"101",1.5,"IPW",0.0363429020720824,0.116603233241457,0.0135963140023617,0.165070651446587,0.191864915349734,300,0.00476030706333841
"102",1,"IPW",0.0261339201949194,0.081040823083994,0.00656761500613122,0.121728667049026,0.11870888667684,300,0.00330847774818249
"103",0.5,"IPW",0.000845446621671401,0.0537244052272644,0.00288631171702331,0.0930835060273497,0.0870663254849694,300,0.00219328965902185
"104",0,"IPW",0.00166861492005141,0.0572224530313746,0.00327440913092787,0.0821748203059801,0.0842049221770571,300,0.00233609686262074
"105",-0.5,"IPW",-0.0102951376020571,0.0639324946099433,0.00408736386705043,0.0924154304795782,0.0974914197741036,300,0.00261003316295995
"106",-1,"IPW",-0.0181713136438412,0.0832395994884489,0.00692883092299738,0.118959580702239,0.128149114713708,300,0.00339824241900559
"107",-1.5,"IPW",-0.0285428336400655,0.127397883322699,0.0162302206751041,0.157781453226775,0.190263832110515,300,0.00520099680752067
"108",-2,"IPW",-0.0535302845398201,0.153306015261035,0.0235027343152167,0.208477113018619,0.235753421863164,300,0.00625869186481444
"109",2,"MLE",0.0319992871850227,0.111980739449608,0.012539686007681,0.149353599146736,0.169140162339291,350,0.00423247411732547
"110",1.5,"MLE",0.0169186338467904,0.0818665078756191,0.00670212511174881,0.118789303682789,0.121984436379023,350,0.00309426315063141
"111",1,"MLE",0.00369390238334412,0.0624081831184026,0.00389478132014007,0.0947855114021252,0.0942021025356399,350,0.00235880760438104
"112",0.5,"MLE",0.00338804516763591,0.0560094199251498,0.00313705512035177,0.0820778855222612,0.083212903310451,350,0.00211695708855618
"113",0,"MLE",8.23800415474833e-05,0.0528773592987964,0.00279601512641401,0.0765932912053119,0.07937449629499,350,0.00199857632414891
"114",-0.5,"MLE",-0.00479409332836332,0.0534305019459122,0.00285481853819213,0.0809339409673853,0.0834788488982852,350,0.00201948315106052
"115",-1,"MLE",-0.00506299404569587,0.0683684234884338,0.00467424133029382,0.0923995950396699,0.0928517709523081,350,0.00258408351542776
"116",-1.5,"MLE",-0.0107143627478768,0.0770100220954871,0.0059305435031474,0.114251770571581,0.117506901000888,350,0.00291070524177497
"117",-2,"MLE",-0.0147872385574468,0.0973487401716353,0.00947677721300457,0.143013082868307,0.140868706539204,350,0.00367943652770843
